"date","inc_cases","inc_deaths","hos_adult","hos_pediatric","hos"
2020-09-01,44049,1091,4035,88,4123
2020-09-02,32444,1076,3997,81,4078
2020-09-03,46397,1078,3746,98,3844
2020-09-04,52101,980,3961,104,4065
2020-09-05,42253,712,3660,108,3768
2020-09-06,29998,411,3240,72,3312
2020-09-07,25166,263,3349,70,3419
2020-09-08,28942,458,3591,76,3667
2020-09-09,33332,1175,4454,90,4544
2020-09-10,38061,915,4423,80,4503
2020-09-11,47567,1227,4390,76,4466
2020-09-12,39104,701,3974,79,4053
2020-09-13,33343,399,3676,78,3754
2020-09-14,36887,450,2976,71,3047
2020-09-15,39217,1281,3814,78,3892
2020-09-16,39268,997,3388,89,3477
2020-09-17,45310,849,3495,74,3569
2020-09-18,48887,949,3450,79,3529
2020-09-19,41811,670,3359,77,3436
2020-09-20,36356,213,3006,70,3076
2020-09-21,54952,430,3126,90,3216
2020-09-22,37391,941,3657,90,3747
2020-09-23,41549,1090,3599,90,3689
2020-09-24,45204,885,3496,81,3577
2020-09-25,54581,853,3558,85,3643
2020-09-26,42695,769,3624,87,3711
2020-09-27,37298,267,3219,75,3294
2020-09-28,37360,350,3620,77,3697
2020-09-29,43697,926,4026,77,4103
2020-09-30,42058,974,3899,93,3992
2020-10-01,46418,847,3951,83,4034
2020-10-02,53580,865,3806,86,3892
2020-10-03,47779,709,4133,99,4232
2020-10-04,35063,333,3572,84,3656
2020-10-05,62413,429,4487,96,4583
2020-10-06,42862,721,5245,133,5378
2020-10-07,53017,996,4711,101,4812
2020-10-08,56382,928,4737,92,4829
2020-10-09,58962,915,4664,93,4757
2020-10-10,51648,592,4670,100,4770
2020-10-11,44783,419,4446,91,4537
2020-10-12,48016,351,4567,91,4658
2020-10-13,54393,826,5333,98,5431
2020-10-14,59853,1009,5267,91,5358
2020-10-15,65353,793,5180,94,5274
2020-10-16,70464,891,5446,127,5573
2020-10-17,52761,678,5422,115,5537
2020-10-18,47882,387,5099,65,5164
2020-10-19,65440,517,5132,89,5221
2020-10-20,60594,929,6119,88,6207
2020-10-21,64237,1208,5903,101,6004
2020-10-22,75130,828,6071,83,6154
2020-10-23,85297,930,6047,83,6130
2020-10-24,78579,872,6187,82,6269
2020-10-25,59715,339,5340,81,5421
2020-10-26,74638,537,5464,82,5546
2020-10-27,74387,983,6489,136,6625
2020-10-28,81882,1018,6900,114,7014
2020-10-29,90669,1004,7054,113,7167
2020-10-30,99868,968,7319,112,7431
2020-10-31,84207,838,6803,102,6905
2020-11-01,74195,428,6269,74,6343
2020-11-02,94006,540,6733,102,6835
2020-11-03,92416,1130,7810,104,7914
2020-11-04,108078,1616,7978,112,8090
2020-11-05,121349,1108,8362,111,8473
2020-11-06,132823,1248,8680,126,8806
2020-11-07,125931,1007,8834,151,8985
2020-11-08,103413,464,8149,163,8312
2020-11-09,130449,745,8524,119,8643
2020-11-10,139750,1464,10179,168,10347
2020-11-11,142878,1431,10300,149,10449
2020-11-12,163651,1172,10416,152,10568
2020-11-13,181496,1390,10580,166,10746
2020-11-14,159033,1210,10593,171,10764
2020-11-15,135186,623,10013,124,10137
2020-11-16,166563,796,10259,135,10394
2020-11-17,161631,1607,12058,151,12209
2020-11-18,172280,1924,11950,169,12119
2020-11-19,187508,1961,12004,150,12154
2020-11-20,198859,1957,12337,169,12506
2020-11-21,171933,1425,11975,163,12138
2020-11-22,140794,843,10900,125,11025
2020-11-23,179623,1038,11123,143,11266
2020-11-24,177858,2209,13364,143,13507
2020-11-25,180590,2313,13079,170,13249
2020-11-26,102994,1178,12578,150,12728
2020-11-27,205839,1412,10978,129,11107
2020-11-28,151408,1192,12966,126,13092
2020-11-29,136122,818,12298,135,12433
2020-11-30,167658,1270,11990,153,12143
2020-12-01,184228,2608,14253,203,14456
2020-12-02,201172,2886,13761,182,13943
2020-12-03,217738,2856,13730,183,13913
2020-12-04,231368,2637,13845,193,14038
2020-12-05,205708,2190,13747,181,13928
2020-12-06,171921,1111,12297,159,12456
2020-12-07,204523,1534,12536,158,12694
2020-12-08,219714,2821,14597,193,14790
2020-12-09,219716,3156,14890,210,15100
2020-12-10,225225,2941,15065,197,15262
2020-12-11,280513,2955,15057,214,15271
2020-12-12,207532,2255,14870,197,15067
2020-12-13,184219,1357,13247,157,13404
2020-12-14,200885,1678,13404,143,13547
2020-12-15,203153,3025,15982,209,16191
2020-12-16,244827,3611,15396,177,15573
2020-12-17,237709,3298,15059,188,15247
2020-12-18,251190,2870,15063,206,15269
2020-12-19,193905,2561,15006,171,15177
2020-12-20,179911,1429,13681,184,13865
2020-12-21,201518,1963,13996,158,14154
2020-12-22,201637,3239,16591,180,16771
2020-12-23,227763,3412,16276,184,16460
2020-12-24,193511,2824,15647,154,15801
2020-12-25,100931,1129,14365,144,14509
2020-12-26,216861,1646,13237,139,13376
2020-12-27,152089,1230,14987,158,15145
2020-12-28,189010,1899,14655,152,14807
2020-12-29,201030,3628,16430,180,16610
2020-12-30,228949,3808,16574,238,16812
2020-12-31,231024,3462,16561,190,16751
2021-01-01,147248,1920,15849,185,16034
2021-01-02,291610,2373,14964,167,15131
2021-01-03,201780,1351,15757,167,15924
2021-01-04,251830,2049,14898,176,15074
2021-01-05,235016,3689,17885,218,18103
2021-01-06,255966,3964,17456,247,17703
2021-01-07,280334,4113,16840,230,17070
2021-01-08,300777,3895,16765,243,17008
2021-01-09,251919,3259,16567,207,16774
2021-01-10,208295,1777,14330,181,14511
2021-01-11,226316,2048,13995,144,14139
2021-01-12,229977,4406,16432,209,16641
2021-01-13,229325,3930,16231,225,16456
2021-01-14,239522,3980,16033,211,16244
2021-01-15,239853,3749,16051,206,16257
2021-01-16,202193,3341,15421,183,15604
2021-01-17,170094,1730,13251,175,13426
2021-01-18,141133,1441,12839,149,12988
2021-01-19,186944,2771,14330,225,14555
2021-01-20,185488,4380,13879,201,14080
2021-01-21,190482,4135,13679,216,13895
2021-01-22,191565,3731,14000,219,14219
2021-01-23,167917,3322,13120,198,13318
2021-01-24,129676,1815,11203,194,11397
2021-01-25,156576,1907,10518,196,10714
2021-01-26,150638,4098,13050,222,13272
2021-01-27,155770,4102,12281,232,12513
2021-01-28,166175,3868,12012,195,12207
2021-01-29,164615,3600,11033,194,11227
2021-01-30,133800,2641,10890,180,11070
2021-01-31,113795,1864,9386,138,9524
2021-02-01,141854,1950,9118,162,9280
2021-02-02,115256,3611,10482,205,10687
2021-02-03,120183,3843,10412,169,10581
2021-02-04,125636,5117,10459,183,10642
2021-02-05,129501,3570,9973,191,10164
2021-02-06,104947,2662,9634,207,9841
2021-02-07,87281,1301,7935,180,8115
2021-02-08,92982,1583,7461,169,7630
2021-02-09,96390,3170,8904,218,9122
2021-02-10,94975,3254,8519,159,8678
2021-02-11,105640,3878,8192,148,8340
2021-02-12,99627,5463,7769,183,7952
2021-02-13,84652,3372,7420,159,7579
2021-02-14,63780,1081,6387,123,6510
2021-02-15,55272,994,5773,128,5901
2021-02-16,64540,1707,6903,136,7039
2021-02-17,70161,2471,7118,158,7276
2021-02-18,71791,2625,6773,156,6929
2021-02-19,78012,2621,6580,133,6713
2021-02-20,69720,1831,6592,149,6741
2021-02-21,55180,1247,5694,117,5811
2021-02-22,59466,1454,5632,91,5723
2021-02-23,71913,2328,6657,130,6787
2021-02-24,74194,3210,6469,127,6596
2021-02-25,77881,2465,6127,123,6250
2021-02-26,78318,2176,5637,129,5766
2021-02-27,62674,1567,5456,137,5593
2021-02-28,50905,1129,4868,96,4964
2021-03-01,56696,1425,4456,128,4584
2021-03-02,57644,1306,5319,134,5453
2021-03-03,66612,2369,5287,118,5405
2021-03-04,67282,1949,5284,129,5413
2021-03-05,65695,2483,5203,119,5322
2021-03-06,56585,1459,4949,108,5057
2021-03-07,40064,676,4242,90,4332
2021-03-08,94513,820,4229,78,4307
2021-03-09,55899,1885,4989,139,5128
2021-03-10,58195,1474,5060,118,5178
2021-03-11,62387,1524,4839,107,4946
2021-03-12,64166,1705,5113,122,5235
2021-03-13,49557,1874,4621,110,4731
2021-03-14,37989,569,4023,97,4120
2021-03-15,57164,749,4104,89,4193
2021-03-16,54531,1245,4895,112,5007
2021-03-17,58931,1177,4830,107,4937
2021-03-18,60470,1558,4817,114,4931
2021-03-19,60623,1514,4797,114,4911
2021-03-20,54425,772,4787,94,4881
2021-03-21,34193,448,4024,115,4139
2021-03-22,54716,648,4130,115,4245
2021-03-23,56746,893,5175,115,5290
2021-03-24,79903,1590,5077,132,5209
2021-03-25,69116,1270,5168,108,5276
2021-03-26,74499,1260,5067,122,5189
2021-03-27,60700,780,4959,109,5068
2021-03-28,44515,490,4563,144,4707
2021-03-29,70739,685,4426,83,4509
2021-03-30,62234,947,5346,106,5452
2021-03-31,67936,1135,5163,113,5276
2021-04-01,77193,957,5266,117,5383
2021-04-02,68589,956,5244,126,5370
2021-04-03,64136,753,5201,107,5308
